NAME,INTERFACE HOSTNAME,DEFAULT,APPLIANCE,RACK,RANK,IP,MAC,INTERFACE,NETWORK,CHANNEL,OPTIONS,VLAN
pxe001,pxe001-bld403,True,frontend,0,0,10.11.3.9,00:1a:4a:16:01:55,eth0,bld403,,,
pxe001,pxe001-oob001,,,,,192.168.0.17,00:1a:4a:16:01:6c,eth1,oob001,,,
hyp001,hyp001-oob001,,backend,0,0,192.168.0.22,74:E6:E2:A3:55:21,em1,oob001,,,
hyp001,hyp001-inf412,True,,,,10.11.12.11,,em2.412,inf412,,,412

